year eu asean eu_cum asean_cum
1951 1 NA 1 NA
1952 0 NA 1 NA
1953 0 NA 1 NA
1954 0 NA 1 NA
1955 0 NA 1 NA
1956 1 NA 2 NA
1957 2 NA 4 NA
1958 0 NA 4 NA
1959 0 NA 4 NA
1960 0 NA 4 NA
1961 0 NA 4 NA
1962 1 NA 5 NA
1963 0 NA 5 NA
1964 0 NA 5 NA
1965 0 NA 5 NA
1966 0 NA 5 NA
1967 0 0 5 0
1968 0 0 5 0
1969 0 0 5 0
1970 0 0 5 0
1971 0 0 5 0
1972 1 1 6 1
1973 0 0 6 1
1974 0 0 6 1
1975 0 1 6 2
1976 0 1 6 2
1977 0 1 6 2
1978 0 1 6 2
1979 1 0 7 2
1980 0 1 7 3
1981 0 1 7 3
1982 0 1 7 3
1983 0 1 7 3
1984 0 1 7 3
1985 1 0 8 3
1986 1 1 9 4
1987 0 0 9 4
1988 0 0 9 4
1989 0 0 9 4
1990 0 0 9 4
1991 0 0 9 4
1992 3 2 12 6
1993 0 0 12 6
1994 1 0 13 6
1995 0 3 13 9
1996 0 0 13 9
1997 3 1 16 10
1998 0 3 16 13
1999 0 0 16 13
2000 0 0 16 13
2001 0 0 16 13
2002 0 0 16 13
2003 1 2 17 15
2004 1 1 18 16
2005 1 1 19 17
2006 1 1 20 18
2007 1 2 21 20
2008 2 0 23 20
2009 0 6 23 26
2010 3 0 26 26
2011 0 0 26 26
2012 4 0 29 26
2013 0 1 29 27
2014 0 1 29 28
